Team,points-per-game,true-shooting-percentage,offensive-rebounds-per-game,defensive-rebounds-per-game,steals-per-game,assist--per--turnover-ratio,personal-fouls-per-game,win-pct-all-games
Memphis,115.9,111.2,12.8,35.0,8.4,1.809,20.1,0.623
San Antonio,112.2,110.0,11.9,31.2,7.0,1.732,20.3,0.242
New York,115.1,113.3,12.7,34.3,6.0,1.736,20.7,0.578
New Orleans,114.4,114.5,11.0,32.9,8.6,1.736,20.7,0.492
Golden State,118.4,118.8,10.1,34.0,7.1,1.815,21.9,0.516
Indiana,115.1,114.4,10.0,31.6,7.9,1.776,21.3,0.444
Dallas,113.5,118.4,8.0,30.8,6.5,1.828,20.9,0.508
Charlotte,112.3,108.7,11.7,33.5,8.1,1.814,20.7,0.313
Minnesota,115.4,117.4,9.1,32.5,8.2,1.610,21.7,0.500
Phoenix,112.6,112.6,11.9,32.4,7.3,1.923,21.0,0.540
Boston,117.7,119.5,9.5,35.4,6.3,1.956,19.1,0.714
Atlanta,116.9,114.1,10.6,33.2,6.9,1.929,19.0,0.500
Cleveland,111.9,117.3,9.7,32.1,7.1,1.818,18.7,0.600
Utah,117.2,116.3,12.0,33.2,6.4,1.660,20.6,0.492
Portland,114.9,119.0,9.8,31.4,6.4,1.659,20.5,0.468
Denver,117.2,120.8,10.0,33.0,7.5,1.965,19.0,0.698
Sacramento,120.7,121.3,9.2,33.0,7.0,1.893,19.9,0.590
Brooklyn,113.7,120.4,7.6,32.3,7.0,1.811,21.9,0.548
Milwaukee,115.3,114.0,11.5,37.8,6.5,1.672,18.5,0.726
Chicago,113.0,116.2,8.6,34.3,7.5,1.743,19.4,0.460
Okla City,117.8,113.4,11.5,32.2,8.3,1.855,21.5,0.452
Washington,113.1,116.2,9.4,34.5,6.8,1.777,19.1,0.475
Houston,109.5,108.8,13.2,33.2,7.1,1.349,20.5,0.210
Detroit,111.8,111.7,10.9,31.6,7.2,1.520,22.4,0.238
Philadelphia,114.0,119.1,8.6,32.0,7.9,1.817,20.4,0.656
Miami,107.8,111.2,9.9,31.3,8.3,1.743,18.9,0.524
Orlando,110.7,113.6,10.1,32.9,7.0,1.497,20.2,0.413
Toronto,112.6,109.6,12.7,30.3,9.2,1.961,20.3,0.492
LA Clippers,112.5,115.6,9.8,33.6,7.0,1.613,19.6,0.516
LA Lakers,117.0,114.6,9.8,36.0,6.5,1.772,18.5,0.476
