Team,points-per-game,true-shooting-percentage,offensive-rebounds-per-game,defensive-rebounds-per-game,steals-per-game,assist--per--turnover-ratio,personal-fouls-per-game,win-pct-all-games
Memphis,116.7,111.0,13.4,35.2,8.3,1.769,20.1,0.640
San Antonio,112.7,110.9,12.1,30.9,6.9,1.766,19.9,0.280
New York,114.3,111.9,13.2,34.1,6.3,1.710,20.5,0.529
New Orleans,115.0,114.5,11.1,33.2,8.5,1.698,20.5,0.510
Golden State,117.9,118.1,10.1,34.0,7.0,1.769,22.2,0.510
Indiana,115.1,114.0,10.2,31.8,8.0,1.711,21.6,0.462
Dallas,112.4,117.6,7.7,30.8,6.5,1.795,20.9,0.510
Charlotte,112.2,108.4,12.0,33.0,7.9,1.822,21.0,0.294
Minnesota,115.2,118.1,9.0,32.1,8.4,1.597,22.0,0.519
Phoenix,112.9,112.9,11.9,32.0,6.8,1.899,21.1,0.510
Boston,117.8,118.7,9.7,35.0,6.4,1.945,18.9,0.706
Atlanta,116.0,113.7,10.3,33.2,7.0,1.864,19.1,0.500
Cleveland,111.5,116.7,9.7,32.3,6.7,1.751,18.8,0.596
Utah,117.5,117.0,11.6,32.7,6.8,1.703,20.8,0.500
Portland,113.8,118.0,10.2,32.2,6.5,1.600,20.8,0.469
Denver,116.5,120.3,10.1,32.7,7.5,1.909,19.3,0.680
Sacramento,119.5,120.6,9.0,33.0,6.6,1.898,20.1,0.563
Brooklyn,114.4,121.8,7.7,32.7,7.0,1.811,21.9,0.612
Milwaukee,114.1,113.3,11.8,36.7,6.8,1.615,18.3,0.660
Chicago,114.5,116.6,8.6,33.8,7.6,1.784,19.8,0.469
Okla City,116.8,113.1,11.4,32.7,8.1,1.783,21.8,0.490
Washington,112.7,114.6,9.6,34.8,6.8,1.803,19.5,0.469
Houston,109.6,109.2,13.2,33.7,7.2,1.305,20.5,0.240
Detroit,112.8,112.0,11.1,31.4,7.3,1.531,22.1,0.255
Philadelphia,114.8,119.2,8.7,31.8,8.0,1.809,20.6,0.667
Miami,108.6,111.8,10.0,31.4,8.6,1.753,18.8,0.549
Orlando,111.1,115.0,9.5,32.9,6.8,1.489,20.4,0.380
Toronto,112.9,110.1,12.5,30.1,9.2,1.978,20.3,0.451
LA Clippers,110.7,114.9,10.0,33.6,6.5,1.563,19.6,0.528
LA Lakers,117.1,115.0,9.3,35.6,6.7,1.770,18.6,0.460
