Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
0,10/18/22,Boston Celtics,Philadelphia 76ers,1,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429
1,10/18/22,Golden State Warriors,Los Angeles Lakers,1,119.5,115.5,10.0,33.2,7.8,1.835,23.2,0.500,102.2,99.6,9.2,36.4,10.0,1.444,20.6,0.000
2,10/19/22,Detroit Pistons,Orlando Magic,1,109.7,105.2,12.8,31.5,5.7,1.700,22.5,0.167,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167
3,10/19/22,Indiana Pacers,Washington Wizards,0,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429,112.0,117.1,8.0,34.2,6.8,1.557,21.8,0.600
4,10/19/22,Atlanta Hawks,Houston Rockets,1,117.2,114.2,10.2,33.5,7.7,2.157,21.7,0.667,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167
5,10/19/22,Brooklyn Nets,New Orleans Pelicans,0,113.5,114.4,9.5,29.5,6.7,1.885,24.3,0.167,119.8,116.6,12.6,31.0,8.6,1.811,19.8,0.600
6,10/19/22,Memphis Grizzlies,New York Knicks,1,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667,119.8,110.2,14.4,36.4,5.8,1.881,23.8,0.600
7,10/19/22,Miami Heat,Chicago Bulls,0,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429
8,10/19/22,Toronto Raptors,Cleveland Cavaliers,1,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500,117.0,118.2,10.2,33.6,6.0,1.566,21.6,0.800
9,10/19/22,Minnesota Timberwolves,Oklahoma City Thunder,1,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667,112.3,104.9,13.3,34.8,9.0,2.056,21.8,0.500
10,10/19/22,San Antonio Spurs,Charlotte Hornets,0,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667,118.5,111.1,12.2,35.2,6.2,2.024,20.7,0.500
11,10/19/22,Utah Jazz,Denver Nuggets,1,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667
12,10/19/22,Phoenix Suns,Dallas Mavericks,1,117.6,115.8,11.6,33.4,7.6,2.191,22.6,0.800,118.6,118.5,10.0,33.0,7.4,1.370,23.0,0.400
13,10/19/22,Sacramento Kings,Portland Trail Blazers,0,114.2,117.4,8.2,34.6,5.8,1.756,24.8,0.200,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833
14,10/20/22,Philadelphia 76ers,Milwaukee Bucks,0,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429,113.4,110.1,12.4,39.2,6.8,1.779,20.2,1.000
15,10/20/22,Los Angeles Lakers,Los Angeles Clippers,0,102.2,99.6,9.2,36.4,10.0,1.444,20.6,0.000,102.6,111.6,8.2,38.2,7.2,1.111,19.6,0.400
16,10/21/22,Charlotte Hornets,New Orleans Pelicans,0,118.5,111.1,12.2,35.2,6.2,2.024,20.7,0.500,119.8,116.6,12.6,31.0,8.6,1.811,19.8,0.600
17,10/21/22,Indiana Pacers,San Antonio Spurs,0,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667
18,10/21/22,Washington Wizards,Chicago Bulls,1,112.0,117.1,8.0,34.2,6.8,1.557,21.8,0.600,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429
19,10/21/22,Atlanta Hawks,Orlando Magic,1,117.2,114.2,10.2,33.5,7.7,2.157,21.7,0.667,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167
20,10/21/22,Brooklyn Nets,Toronto Raptors,1,113.5,114.4,9.5,29.5,6.7,1.885,24.3,0.167,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500
21,10/21/22,Miami Heat,Boston Celtics,0,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600
22,10/21/22,New York Knicks,Detroit Pistons,1,119.8,110.2,14.4,36.4,5.8,1.881,23.8,0.600,109.7,105.2,12.8,31.5,5.7,1.700,22.5,0.167
23,10/21/22,Houston Rockets,Memphis Grizzlies,0,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667
24,10/21/22,Minnesota Timberwolves,Utah Jazz,0,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714
25,10/21/22,Golden State Warriors,Denver Nuggets,0,119.5,115.5,10.0,33.2,7.8,1.835,23.2,0.500,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667
26,10/21/22,Portland Trail Blazers,Phoenix Suns,1,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833,117.6,115.8,11.6,33.4,7.6,2.191,22.6,0.800
27,10/22/22,Philadelphia 76ers,San Antonio Spurs,0,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667
28,10/22/22,Indiana Pacers,Detroit Pistons,1,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429,109.7,105.2,12.8,31.5,5.7,1.700,22.5,0.167
29,10/22/22,Orlando Magic,Boston Celtics,0,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600
30,10/22/22,Chicago Bulls,Cleveland Cavaliers,0,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429,117.0,118.2,10.2,33.6,6.0,1.566,21.6,0.800
31,10/22/22,Miami Heat,Toronto Raptors,1,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500
32,10/22/22,Milwaukee Bucks,Houston Rockets,1,113.4,110.1,12.4,39.2,6.8,1.779,20.2,1.000,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167
33,10/22/22,Dallas Mavericks,Memphis Grizzlies,1,118.6,118.5,10.0,33.0,7.4,1.370,23.0,0.400,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667
