id,date,home_team,away_team,outcome,home_points-per-game,away_points-per-game,home_true-shooting-percentage,away_true-shooting-percentage,home_offensive-rebounds-per-game,away_offensive-rebounds-per-game,home_defensive-rebounds-per-game,away_defensive-rebounds-per-game,home_steals-per-game,away_steals-per-game,home_assist--per--turnover-ratio,away_assist--per--turnover-ratio,home_personal-fouls-per-game,away_personal-fouls-per-game,home_win-pct-all-games,away_win-pct-all-games
13,10/22/2022,Philadelphia 76ers,San Antonio Spurs,0,102.5,119.5,112.3,113.3,5.0,10.5,32.5,30.0,7.0,8.5,1.375,1.750,19.5,20.5,0.000,0.500
14,10/22/2022,Indiana Pacers,Detroit Pistons,1,120.5,109.5,108.8,104.0,13.0,12.5,29.0,32.5,7.5,8.5,1.710,2.036,27.0,21.0,0.000,0.500
15,10/22/2022,Orlando Magic,Boston Celtics,0,103.5,118.5,109.4,130.6,10.0,9.0,36.0,30.5,7.0,6.0,1.000,1.323,21.5,23.5,0.000,1.000
16,10/22/2022,Chicago Bulls,Cleveland Cavaliers,0,108.0,105.0,107.5,118.1,11.0,6.0,31.0,32.0,10.0,5.0,1.500,1.563,20.5,21.0,0.500,0.000
17,10/22/2022,Miami Heat,Toronto Raptors,1,106.0,106.5,110.2,109.9,9.5,10.0,31.5,31.5,7.0,11.5,1.517,1.571,21.0,22.0,0.000,0.500
18,10/22/2022,Milwaukee Bucks,Houston Rockets,1,90.0,114.5,99.3,107.8,7.0,14.0,41.0,35.5,4.0,4.0,1.714,1.433,16.0,21.0,1.000,0.000
19,10/22/2022,Dallas Mavericks,Memphis Grizzlies,1,105.0,122.0,115.2,105.8,5.0,18.5,35.0,38.5,6.0,7.0,1.417,2.038,22.0,19.0,0.000,1.000
20,10/22/2022,Denver Nuggets,Oklahoma City Thunder,1,115.0,108.0,121.4,98.7,11.0,16.0,27.0,41.0,10.0,6.0,1.244,1.571,22.5,26.0,0.500,0.000
21,10/22/2022,Sacramento Kings,Los Angeles Clippers,0,108.0,103.0,114.9,108.7,4.0,10.0,37.0,48.0,8.0,7.0,1.688,0.783,25.0,24.0,0.000,1.000
22,10/23/2022,Los Angeles Lakers,Portland Trail Blazers,0,103.0,114.0,97.1,112.4,8.5,12.0,34.5,34.0,12.5,9.5,1.438,1.063,21.0,18.0,0.000,1.000
23,10/23/2022,Atlanta Hawks,Charlotte Hornets,0,112.5,120.5,113.6,115.5,6.5,12.5,35.5,31.5,11.0,8.0,2.154,1.931,20.0,22.0,1.000,0.500
24,10/23/2022,Cleveland Cavaliers,Washington Wizards,1,116.5,108.0,127.7,115.1,7.0,9.0,36.0,36.5,4.5,6.5,1.676,1.382,19.0,20.5,0.500,1.000
25,10/23/2022,New Orleans Pelicans,Utah Jazz,0,127.0,127.5,115.2,116.6,18.0,15.0,39.0,33.5,9.0,10.5,1.862,2.000,17.5,22.0,1.000,1.000
26,10/23/2022,Oklahoma City Thunder,Minnesota Timberwolves,0,112.5,120.5,105.0,105.9,13.0,17.5,39.0,40.0,8.0,5.5,1.889,1.324,26.5,21.5,0.000,0.500
27,10/23/2022,Golden State Warriors,Sacramento Kings,1,123.0,108.5,116.7,113.4,9.0,6.5,32.5,33.5,10.5,6.5,1.757,1.821,23.0,23.0,0.500,0.000
28,10/23/2022,Los Angeles Clippers,Phoenix Suns,0,107.0,109.0,114.9,109.3,7.5,8.5,41.5,32.0,7.5,9.0,1.167,1.931,22.5,29.0,1.000,0.500
29,10/24/2022,Philadelphia 76ers,Indiana Pacers,1,103.3,121.7,110.8,108.7,7.3,15.3,31.0,32.3,6.7,7.3,1.639,1.929,18.0,25.0,0.000,0.333
30,10/24/2022,Miami Heat,Toronto Raptors,0,108.0,107.3,115.2,109.5,8.3,9.3,33.7,30.7,5.3,10.7,1.600,2.000,22.7,23.0,0.333,0.333
31,10/24/2022,New York Knicks,Orlando Magic,1,121.0,109.0,108.5,110.8,14.5,10.7,37.5,36.0,5.5,6.3,2.375,1.261,26.0,22.3,0.500,0.000
32,10/24/2022,Chicago Bulls,Boston Celtics,1,104.0,121.0,105.1,128.8,10.7,8.3,29.0,30.3,10.7,5.7,1.605,1.667,20.0,22.7,0.333,1.000
33,10/24/2022,Houston Rockets,Utah Jazz,1,111.3,125.7,105.8,114.2,14.3,15.0,34.3,32.0,5.7,11.3,1.432,1.900,21.3,21.3,0.000,1.000
34,10/24/2022,Memphis Grizzlies,Brooklyn Nets,1,113.3,108.5,105.9,111.8,14.3,11.0,33.3,30.5,6.0,6.5,1.659,1.655,22.3,22.0,0.667,0.500
35,10/24/2022,Minnesota Timberwolves,San Antonio Spurs,0,119.0,117.7,109.5,115.0,15.7,11.0,40.7,30.3,6.7,7.3,1.408,1.804,20.0,20.3,0.667,0.667
36,10/24/2022,Portland Trail Blazers,Denver Nuggets,1,111.3,117.3,111.5,121.7,12.3,10.3,35.7,30.3,8.3,8.3,1.039,1.424,18.7,22.0,1.000,0.667
